State.Name,,latitude,longitude
Andaman And Nicobar    ,ANDAMAN AND NICOBAR    ,11.66702557,92.73598262
Andhra Pradesh     ,ANDHRA PRADESH     ,14.7504291,78.57002559
Arunachal Pradesh    ,ARUNACHAL PRADESH    ,27.10039878,93.61660071
Assam    ,ASSAM    ,26.7499809,94.21666744
Bihar    ,BIHAR    ,25.78541445,87.4799727
Chandigarh    ,CHANDIGARH    ,30.71999697,76.78000565
Chhattisgarh    ,CHHATTISGARH    ,22.09042035,82.15998734
Dadra And Nagar Haveli     ,DADRA AND NAGAR HAVELI     ,20.26657819,73.0166178
Delhi    ,DELHI    ,28.6699929,77.23000403
Goa    ,GOA    ,15.491997,73.81800065
Haryana     ,HARYANA     ,28.45000633,77.01999101
Himachal Pradesh    ,HIMACHAL PRADESH    ,31.10002545,77.16659704
Jammu And Kashmir    ,JAMMU AND KASHMIR    ,34.29995933,74.46665849
Jharkhand    ,JHARKHAND    ,23.80039349,86.41998572
Karnataka     ,KARNATAKA     ,12.57038129,76.91999711
Kerala    ,KERALA    ,8.900372741,76.56999263
Lakshadweep    ,LAKSHADWEEP    ,10.56257331,72.63686717
Madhya Pradesh    ,MADHYA PRADESH    ,21.30039105,76.13001949
Maharashtra     ,MAHARASHTRA     ,19.25023195,73.16017493
Manipur    ,MANIPUR    ,24.79997072,93.95001705
Meghalaya    ,MEGHALAYA    ,25.57049217,91.8800142
Mizoram    ,MIZORAM    ,23.71039899,92.72001461
Nagaland    ,NAGALAND    ,25.6669979,94.11657019
Orissa    ,ORISSA    ,19.82042971,85.90001746
Puducherry    ,PUDUCHERRY    ,11.93499371,79.83000037
Punjab    ,PUNJAB    ,31.51997398,75.98000281
Rajasthan     ,RAJASTHAN     ,26.44999921,74.63998124
Sikkim    ,SIKKIM    ,27.3333303,88.6166475
Tamil Nadu     ,TAMIL NADU     ,12.92038576,79.15004187
Tripura    ,TRIPURA    ,23.83540428,91.27999914
Uttar Pradesh    ,UTTAR PRADESH    ,27.59998069,78.05000565
Uttaranchal    ,UTTARANCHAL    ,30.32040895,78.05000565
West Bengal     ,WEST BENGAL     ,22.58039044,88.32994665
